movie|"""Directed"""|link|"""Screenplay"""|"""Starring"""|"""Produced"""|'Cinematography'|'Edited'|'Distributed'|'Language'|'Music'|'Country'|'Box office'|'Budget'|'Production company'|'Running time'
Boyhood||https://en.wikipedia.org/wiki/Boyhood_(2014_film)|||Jonathan Sehring||||||||||
Boyhood||https://en.wikipedia.org/wiki/Boyhood_(2014_film)|||John Sloss||||||||||
Boyhood||https://en.wikipedia.org/wiki/Boyhood_(2014_film)||||Lee Daniel|||||||||
Citizenfour|Laura Poitras|https://en.wikipedia.org/wiki/Citizenfour|||||||||||||
American Sniper||https://en.wikipedia.org/wiki/American_Sniper|||||Joel Cox||||||||
American Sniper||https://en.wikipedia.org/wiki/American_Sniper|||||Gary D. Roach||||||||
American Sniper||https://en.wikipedia.org/wiki/American_Sniper||||||Warner Bros. Pictures|||||||
Boyhood||https://en.wikipedia.org/wiki/Boyhood_(2014_film)||||Shane Kelly|||||||||
Boyhood||https://en.wikipedia.org/wiki/Boyhood_(2014_film)|||||Sandra Adair||||||||
Citizenfour||https://en.wikipedia.org/wiki/Citizenfour||Edward Snowden|||||||||||
Citizenfour||https://en.wikipedia.org/wiki/Citizenfour||Glenn Greenwald|||||||||||
Citizenfour||https://en.wikipedia.org/wiki/Citizenfour||William Binney|||||||||||
American Sniper||https://en.wikipedia.org/wiki/American_Sniper|||||||||United States||||
Boyhood||https://en.wikipedia.org/wiki/Boyhood_(2014_film)||||||IFC Films|||||||
Big Hero 6|Don Hall|https://en.wikipedia.org/wiki/Big_Hero_6_(film)|||||||||||||
Citizenfour||https://en.wikipedia.org/wiki/Citizenfour||Jacob Appelbaum|||||||||||
Citizenfour||https://en.wikipedia.org/wiki/Citizenfour||Ewen MacAskill|||||||||||
Citizenfour||https://en.wikipedia.org/wiki/Citizenfour|||Laura Poitras||||||||||
American Sniper||https://en.wikipedia.org/wiki/American_Sniper|||||||English||||||
American Sniper||https://en.wikipedia.org/wiki/American_Sniper|||||||||||$59 million||
American Sniper||https://en.wikipedia.org/wiki/American_Sniper||||||||||$547.4 million|||
Boyhood||https://en.wikipedia.org/wiki/Boyhood_(2014_film)||||||Universal Pictures|||||||
Boyhood||https://en.wikipedia.org/wiki/Boyhood_(2014_film)|||||||||United States||||
Big Hero 6|Chris Williams|https://en.wikipedia.org/wiki/Big_Hero_6_(film)|||||||||||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)|Jordan Roberts||||||||||||
Citizenfour||https://en.wikipedia.org/wiki/Citizenfour|||Mathilde Bonnefoy||||||||||
Citizenfour||https://en.wikipedia.org/wiki/Citizenfour|||Dirk Wilutzky||||||||||
Citizenfour||https://en.wikipedia.org/wiki/Citizenfour||||Kirsten Johnson|||||||||
Boyhood||https://en.wikipedia.org/wiki/Boyhood_(2014_film)|||||||English||||||
Boyhood||https://en.wikipedia.org/wiki/Boyhood_(2014_film)|||||||||||$4 million||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)|Robert L. Baird||||||||||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)|Dan Gerson||||||||||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)||Scott Adsit|||||||||||
Selma|Ava DuVernay|https://en.wikipedia.org/wiki/Selma_(film)|||||||||||||
Citizenfour||https://en.wikipedia.org/wiki/Citizenfour||||Trevor Paglen|||||||||
Citizenfour||https://en.wikipedia.org/wiki/Citizenfour||||Katy Scoggin|||||||||
Citizenfour||https://en.wikipedia.org/wiki/Citizenfour|||||Mathilde Bonnefoy||||||||
Still Alice|Richard Glatzer|https://en.wikipedia.org/wiki/Still_Alice|||||||||||||
The Phone Call|Mat Kirkby|https://en.wikipedia.org/wiki/The_Phone_Call_(2013_film)|||||||||||||
The Phone Call||https://en.wikipedia.org/wiki/The_Phone_Call_(2013_film)||Sally Hawkins|||||||||||
The Phone Call||https://en.wikipedia.org/wiki/The_Phone_Call_(2013_film)|||||Lizzy Graham||||||||
Boyhood||https://en.wikipedia.org/wiki/Boyhood_(2014_film)||||||||||$57.3 million|||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)||Ryan Potter|||||||||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)||Daniel Henney|||||||||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)||T.J. Miller|||||||||||
Selma||https://en.wikipedia.org/wiki/Selma_(film)||David Oyelowo|||||||||||
Citizenfour||https://en.wikipedia.org/wiki/Citizenfour||||||Radius-TWC|||||||
Citizenfour||https://en.wikipedia.org/wiki/Citizenfour|||||||English||||||
Still Alice|Wash Westmoreland|https://en.wikipedia.org/wiki/Still_Alice|||||||||||||
Still Alice||https://en.wikipedia.org/wiki/Still_Alice|Richard Glatzer||||||||||||
Still Alice||https://en.wikipedia.org/wiki/Still_Alice|Wash Westmoreland||||||||||||
The Phone Call||https://en.wikipedia.org/wiki/The_Phone_Call_(2013_film)|||||||||United Kingdom||||
The Phone Call||https://en.wikipedia.org/wiki/The_Phone_Call_(2013_film)|||||||English||||||
Feast|Patrick Osborne|https://en.wikipedia.org/wiki/Feast_(2014_film)|||||||||||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)||Jamie Chung|||||||||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)||Damon Wayans Jr.|||||||||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)||Genesis Rodriguez|||||||||||
Selma||https://en.wikipedia.org/wiki/Selma_(film)||Carmen Ejogo|||||||||||
Selma||https://en.wikipedia.org/wiki/Selma_(film)||Tom Wilkinson|||||||||||
Selma||https://en.wikipedia.org/wiki/Selma_(film)||Giovanni Ribisi|||||||||||
Citizenfour||https://en.wikipedia.org/wiki/Citizenfour|||||||German||||||
Citizenfour||https://en.wikipedia.org/wiki/Citizenfour|||||||Portuguese||||||
Citizenfour||https://en.wikipedia.org/wiki/Citizenfour|||||||||||$1 million||
Still Alice||https://en.wikipedia.org/wiki/Still_Alice||Julianne Moore|||||||||||
Still Alice||https://en.wikipedia.org/wiki/Still_Alice||Alec Baldwin|||||||||||
Still Alice||https://en.wikipedia.org/wiki/Still_Alice||Kristen Stewart|||||||||||
Still Alice||https://en.wikipedia.org/wiki/Still_Alice||Kate Bosworth|||||||||||
Feast||https://en.wikipedia.org/wiki/Feast_(2014_film)||Tommy Snider|||||||||||
Feast||https://en.wikipedia.org/wiki/Feast_(2014_film)||Katie Lowes|||||||||||
Feast||https://en.wikipedia.org/wiki/Feast_(2014_film)|||Kristina Reed||||||||||
Feast||https://en.wikipedia.org/wiki/Feast_(2014_film)|||||Jeff Draheim||||||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)||James Cromwell|||||||||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)||Maya Rudolph|||||||||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)||Alan Tudyk|||||||||||
Selma||https://en.wikipedia.org/wiki/Selma_(film)||Alessandro Nivola|||||||||||
Selma||https://en.wikipedia.org/wiki/Selma_(film)||Cuba Gooding Jr.|||||||||||
Selma||https://en.wikipedia.org/wiki/Selma_(film)||Tim Roth|||||||||||
Citizenfour||https://en.wikipedia.org/wiki/Citizenfour||||||||||$3 million|||
Still Alice||https://en.wikipedia.org/wiki/Still_Alice||Hunter Parrish|||||||||||
Still Alice||https://en.wikipedia.org/wiki/Still_Alice|||Lex Lutzus||||||||||
Still Alice||https://en.wikipedia.org/wiki/Still_Alice|||James Brown||||||||||
12 Years a Slave|Steve McQueen|https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)|||||||||||||
Feast||https://en.wikipedia.org/wiki/Feast_(2014_film)||||||||Alex Ebert|||||
Feast||https://en.wikipedia.org/wiki/Feast_(2014_film)||||||Walt Disney Studios|||||||
Feast||https://en.wikipedia.org/wiki/Feast_(2014_film)|||||||||United States||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)|||Roy Conli||||||||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)||||Rob Dressel (layout)|||||||||
Selma||https://en.wikipedia.org/wiki/Selma_(film)||Oprah Winfrey|||||||||||
Selma||https://en.wikipedia.org/wiki/Selma_(film)|||Christian Colson||||||||||
Still Alice||https://en.wikipedia.org/wiki/Still_Alice|||Pamela Koffler||||||||||
Still Alice||https://en.wikipedia.org/wiki/Still_Alice||||Denis Lenoir|||||||||
Still Alice||https://en.wikipedia.org/wiki/Still_Alice|||||Nicolas Chaudeurge||||||||
Still Alice||https://en.wikipedia.org/wiki/Still_Alice||||||||Ilan Eshkeri|||||
Dallas Buyers Club|Jean-Marc Vallée|https://en.wikipedia.org/wiki/Dallas_Buyers_Club|||||||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)|John Ridley||||||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)||Chiwetel Ejiofor|||||||||||
Feast||https://en.wikipedia.org/wiki/Feast_(2014_film)|||||||English||||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)||||Adolph Lusinsky (lighting)|||||||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)|||||Tim Mertens||||||||
Selma||https://en.wikipedia.org/wiki/Selma_(film)|||Oprah Winfrey||||||||||
Selma||https://en.wikipedia.org/wiki/Selma_(film)|||Dede Gardner||||||||||
Selma||https://en.wikipedia.org/wiki/Selma_(film)|||Jeremy Kleiner||||||||||
Frozen|Chris Buck|https://en.wikipedia.org/wiki/Frozen_(2013_film)|||||||||||||
Gravity|Alfonso Cuarón|https://en.wikipedia.org/wiki/Gravity_(2013_film)|||||||||||||
Still Alice||https://en.wikipedia.org/wiki/Still_Alice||||||Sony Pictures Classics|||||||
Still Alice||https://en.wikipedia.org/wiki/Still_Alice|||||||||United States||||
Dallas Buyers Club||https://en.wikipedia.org/wiki/Dallas_Buyers_Club||Matthew McConaughey|||||||||||
Dallas Buyers Club||https://en.wikipedia.org/wiki/Dallas_Buyers_Club||Jennifer Garner|||||||||||
Dallas Buyers Club||https://en.wikipedia.org/wiki/Dallas_Buyers_Club||Jared Leto|||||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)||Michael Fassbender|||||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)||Benedict Cumberbatch|||||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)||Paul Dano|||||||||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)||||||||Henry Jackman|||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)||||||Walt Disney Studios|||||||
Selma||https://en.wikipedia.org/wiki/Selma_(film)||||Bradford Young|||||||||
Selma||https://en.wikipedia.org/wiki/Selma_(film)|||||Spencer Averick||||||||
Crisis Hotline: Veterans Press 1|Ellen Goosenberg Kent|https://en.wikipedia.org/wiki/Crisis_Hotline:_Veterans_Press_1|||||||||||||
Crisis Hotline: Veterans Press 1||https://en.wikipedia.org/wiki/Crisis_Hotline:_Veterans_Press_1|||Dana Perry||||||||||
Crisis Hotline: Veterans Press 1||https://en.wikipedia.org/wiki/Crisis_Hotline:_Veterans_Press_1||||Tony Hardmon|||||||||
The Great Gatsby|Baz Luhrmann|https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)|||||||||||||
Frozen|Jennifer Lee|https://en.wikipedia.org/wiki/Frozen_(2013_film)|||||||||||||
Frozen||https://en.wikipedia.org/wiki/Frozen_(2013_film)|Jennifer Lee||||||||||||
Gravity||https://en.wikipedia.org/wiki/Gravity_(2013_film)||Sandra Bullock|||||||||||
Gravity||https://en.wikipedia.org/wiki/Gravity_(2013_film)||George Clooney|||||||||||
Still Alice||https://en.wikipedia.org/wiki/Still_Alice|||||||English||||||
Still Alice||https://en.wikipedia.org/wiki/Still_Alice|||||||||||$4-5 million||
Still Alice||https://en.wikipedia.org/wiki/Still_Alice||||||||||$44.8 million|||
Dallas Buyers Club||https://en.wikipedia.org/wiki/Dallas_Buyers_Club|||Robbie Brenner||||||||||
Dallas Buyers Club||https://en.wikipedia.org/wiki/Dallas_Buyers_Club|||Rachel Winter||||||||||
Dallas Buyers Club||https://en.wikipedia.org/wiki/Dallas_Buyers_Club||||Yves Bélanger|||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)||Garret Dillahunt|||||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)||Paul Giamatti|||||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)||Scoot McNairy|||||||||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)|||||||||United States||||
Selma||https://en.wikipedia.org/wiki/Selma_(film)||||||||Jason Moran|||||
Selma||https://en.wikipedia.org/wiki/Selma_(film)||||||Paramount Pictures|||||||
Crisis Hotline: Veterans Press 1||https://en.wikipedia.org/wiki/Crisis_Hotline:_Veterans_Press_1|||||Geof Bartz||||||||
Crisis Hotline: Veterans Press 1||https://en.wikipedia.org/wiki/Crisis_Hotline:_Veterans_Press_1||||||HBO|||||||
Crisis Hotline: Veterans Press 1||https://en.wikipedia.org/wiki/Crisis_Hotline:_Veterans_Press_1|||||||||United States||||
Crisis Hotline: Veterans Press 1||https://en.wikipedia.org/wiki/Crisis_Hotline:_Veterans_Press_1|||||||English||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)|Baz Luhrmann||||||||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)|Craig Pearce||||||||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)||Leonardo DiCaprio|||||||||||
Her|Spike Jonze|https://en.wikipedia.org/wiki/Her_(film)|||||||||||||
Frozen||https://en.wikipedia.org/wiki/Frozen_(2013_film)||Kristen Bell|||||||||||
Gravity||https://en.wikipedia.org/wiki/Gravity_(2013_film)|||Alfonso Cuarón||||||||||
Gravity||https://en.wikipedia.org/wiki/Gravity_(2013_film)|||David Heyman||||||||||
Dallas Buyers Club||https://en.wikipedia.org/wiki/Dallas_Buyers_Club|||||John Mac McMurphy||||||||
Dallas Buyers Club||https://en.wikipedia.org/wiki/Dallas_Buyers_Club||||||Focus Features|||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)||Lupita Nyong'o|||||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)||Adepero Oduye|||||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)||Sarah Paulson|||||||||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)|||||||English||||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)|||||||||||$165 million||
Selma||https://en.wikipedia.org/wiki/Selma_(film)||||||20th Century Fox|||||||
Selma||https://en.wikipedia.org/wiki/Selma_(film)|||||||English||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)||Tobey Maguire|||||||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)||Carey Mulligan|||||||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)||Joel Edgerton|||||||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)||Jason Clarke|||||||||||
Her||https://en.wikipedia.org/wiki/Her_(film)||Joaquin Phoenix|||||||||||
Her||https://en.wikipedia.org/wiki/Her_(film)||Amy Adams|||||||||||
Her||https://en.wikipedia.org/wiki/Her_(film)||Rooney Mara|||||||||||
Frozen||https://en.wikipedia.org/wiki/Frozen_(2013_film)||Idina Menzel|||||||||||
Frozen||https://en.wikipedia.org/wiki/Frozen_(2013_film)||Jonathan Groff|||||||||||
Gravity||https://en.wikipedia.org/wiki/Gravity_(2013_film)||||Emmanuel Lubezki|||||||||
Gravity||https://en.wikipedia.org/wiki/Gravity_(2013_film)|||||Alfonso Cuarón||||||||
Dallas Buyers Club||https://en.wikipedia.org/wiki/Dallas_Buyers_Club|||||||||United States||||
Dallas Buyers Club||https://en.wikipedia.org/wiki/Dallas_Buyers_Club|||||||English||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)||Brad Pitt|||||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)||Michael Kenneth Williams|||||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)||Alfre Woodard|||||||||||
Big Hero 6||https://en.wikipedia.org/wiki/Big_Hero_6_(film)||||||||||$657.9 million|||
Selma||https://en.wikipedia.org/wiki/Selma_(film)|||||||||||$20 million||
Selma||https://en.wikipedia.org/wiki/Selma_(film)||||||||||$66.8 million|||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)||Isla Fisher|||||||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)||Elizabeth Debicki|||||||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)||Jack Thompson|||||||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)||Amitabh Bachchan|||||||||||
Her||https://en.wikipedia.org/wiki/Her_(film)||Olivia Wilde|||||||||||
Her||https://en.wikipedia.org/wiki/Her_(film)||Scarlett Johansson|||||||||||
Her||https://en.wikipedia.org/wiki/Her_(film)|||Megan Ellison||||||||||
Frozen||https://en.wikipedia.org/wiki/Frozen_(2013_film)||Josh Gad|||||||||||
Frozen||https://en.wikipedia.org/wiki/Frozen_(2013_film)||Santino Fontana|||||||||||
Gravity||https://en.wikipedia.org/wiki/Gravity_(2013_film)|||||Mark Sanger||||||||
Gravity||https://en.wikipedia.org/wiki/Gravity_(2013_film)||||||||Steven Price|||||
Dallas Buyers Club||https://en.wikipedia.org/wiki/Dallas_Buyers_Club|||||||||||$5 million||
Dallas Buyers Club||https://en.wikipedia.org/wiki/Dallas_Buyers_Club||||||||||$55.7 million|||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)|||Brad Pitt||||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)|||Dede Gardner||||||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)|||Baz Luhrmann||||||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)|||Catherine Knapman||||||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)|||Douglas Wick||||||||||
Her||https://en.wikipedia.org/wiki/Her_(film)|||Spike Jonze||||||||||
Her||https://en.wikipedia.org/wiki/Her_(film)|||Vincent Landay||||||||||
Her||https://en.wikipedia.org/wiki/Her_(film)||||Hoyte van Hoytema|||||||||
Her||https://en.wikipedia.org/wiki/Her_(film)|||||Eric Zumbrunnen||||||||
Frozen||https://en.wikipedia.org/wiki/Frozen_(2013_film)|||Peter Del Vecho||||||||||
Gravity||https://en.wikipedia.org/wiki/Gravity_(2013_film)||||||Warner Bros. Pictures|||||||
Gravity||https://en.wikipedia.org/wiki/Gravity_(2013_film)|||||||English||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)|||Jeremy Kleiner||||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)|||Bill Pohlad||||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)|||Steve McQueen||||||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)|||Lucy Fisher||||||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)|||Catherine Martin||||||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)||||Simon Duggan|||||||||
Her||https://en.wikipedia.org/wiki/Her_(film)|||||Jeff Buchanan||||||||
Her||https://en.wikipedia.org/wiki/Her_(film)||||||||Arcade Fire|||||
Her||https://en.wikipedia.org/wiki/Her_(film)||||||Warner Bros. Pictures|||||||
Frozen||https://en.wikipedia.org/wiki/Frozen_(2013_film)||||Mohit Kallianpur|||||||||
Gravity||https://en.wikipedia.org/wiki/Gravity_(2013_film)|||||||||||$80–130 million||
Gravity||https://en.wikipedia.org/wiki/Gravity_(2013_film)||||||||||$723.2 million|||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)|||Arnon Milchan||||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)|||Anthony Katagas||||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)||||Sean Bobbitt|||||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)|||||Matt Villa||||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)|||||Jason Ballantine||||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)|||||Jonathan Redmond||||||||
Her||https://en.wikipedia.org/wiki/Her_(film)|||||||||United States||||
Her||https://en.wikipedia.org/wiki/Her_(film)|||||||English||||||
Frozen||https://en.wikipedia.org/wiki/Frozen_(2013_film)|||||Jeff Draheim||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)|||||Joe Walker||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)||||||||Hans Zimmer|||||
The Great Beauty|Paolo Sorrentino|https://en.wikipedia.org/wiki/The_Great_Beauty|||||||||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)||||||||Craig Armstrong|||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)||||||Warner Bros. Pictures|||||||
Her||https://en.wikipedia.org/wiki/Her_(film)|||||||||||$23 million||
Her||https://en.wikipedia.org/wiki/Her_(film)||||||||||$48.3 million|||
Frozen||https://en.wikipedia.org/wiki/Frozen_(2013_film)||||||||Christophe Beck|||||
20 Feet from Stardom|Morgan Neville|https://en.wikipedia.org/wiki/20_Feet_from_Stardom|||||||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)||||||Searchlight Pictures|||||||
The Great Beauty||https://en.wikipedia.org/wiki/The_Great_Beauty|Paolo Sorrentino||||||||||||
The Great Beauty||https://en.wikipedia.org/wiki/The_Great_Beauty|Umberto Contarello||||||||||||
The Great Beauty||https://en.wikipedia.org/wiki/The_Great_Beauty||Toni Servillo|||||||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)||||||Roadshow Films|||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)|||||||English||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)|||||||||||$105–190 million||
Frozen||https://en.wikipedia.org/wiki/Frozen_(2013_film)||||||||Robert Lopez|||||
Frozen||https://en.wikipedia.org/wiki/Frozen_(2013_film)||||||||Kristen Anderson-Lopez|||||
Argo|Ben Affleck|https://en.wikipedia.org/wiki/Argo_(2012_film)|||||||||||||
20 Feet from Stardom||https://en.wikipedia.org/wiki/20_Feet_from_Stardom||Darlene Love|||||||||||
20 Feet from Stardom||https://en.wikipedia.org/wiki/20_Feet_from_Stardom|||Gil Friesen||||||||||
20 Feet from Stardom||https://en.wikipedia.org/wiki/20_Feet_from_Stardom||||Graham Willoughby|||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)||||||Entertainment One|||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)|||||||English||||||
The Great Beauty||https://en.wikipedia.org/wiki/The_Great_Beauty||Carlo Verdone|||||||||||
The Great Beauty||https://en.wikipedia.org/wiki/The_Great_Beauty||Sabrina Ferilli|||||||||||
The Great Beauty||https://en.wikipedia.org/wiki/The_Great_Beauty|||Nicola Giuliano||||||||||
The Great Gatsby||https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film)||||||||||$353.6 million|||
Frozen||https://en.wikipedia.org/wiki/Frozen_(2013_film)||||||Walt Disney Studios|||||||
Argo||https://en.wikipedia.org/wiki/Argo_(2012_film)|Chris Terrio||||||||||||
Argo||https://en.wikipedia.org/wiki/Argo_(2012_film)||Ben Affleck|||||||||||
20 Feet from Stardom||https://en.wikipedia.org/wiki/20_Feet_from_Stardom|||||Jason Zeldes||||||||
20 Feet from Stardom||https://en.wikipedia.org/wiki/20_Feet_from_Stardom||||||||Various Artists|||||
20 Feet from Stardom||https://en.wikipedia.org/wiki/20_Feet_from_Stardom||||||RADiUS-TWC|||||||
Helium|Anders Walter|https://en.wikipedia.org/wiki/Helium_(film)|||||||||||||
The Lady in Number 6|Malcolm Clarke|https://en.wikipedia.org/wiki/The_Lady_in_Number_6|||||||||||||
The Lady in Number 6||https://en.wikipedia.org/wiki/The_Lady_in_Number_6||Alice Herz-Sommer|||||||||||
The Lady in Number 6||https://en.wikipedia.org/wiki/The_Lady_in_Number_6|||Malcolm Clarke||||||||||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)|||||||||||$20–22 million||
12 Years a Slave||https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)||||||||||$187.7 million|||
The Great Beauty||https://en.wikipedia.org/wiki/The_Great_Beauty|||Francesca Cima||||||||||
The Great Beauty||https://en.wikipedia.org/wiki/The_Great_Beauty||||Luca Bigazzi|||||||||
The Great Beauty||https://en.wikipedia.org/wiki/The_Great_Beauty|||||Cristiano Travaglioli||||||||
Mr Hublot|Laurent Witz|https://en.wikipedia.org/wiki/Mr_Hublot|||||||||||||
Mr Hublot||https://en.wikipedia.org/wiki/Mr_Hublot|||ZEILT Productions||||||||||
Frozen||https://en.wikipedia.org/wiki/Frozen_(2013_film)|||||||||United States||||
Argo||https://en.wikipedia.org/wiki/Argo_(2012_film)||Bryan Cranston|||||||||||
Argo||https://en.wikipedia.org/wiki/Argo_(2012_film)||Alan Arkin|||||||||||
Argo||https://en.wikipedia.org/wiki/Argo_(2012_film)||John Goodman|||||||||||
20 Feet from Stardom||https://en.wikipedia.org/wiki/20_Feet_from_Stardom|||||||||United States||||
20 Feet from Stardom||https://en.wikipedia.org/wiki/20_Feet_from_Stardom|||||||English||||||
20 Feet from Stardom||https://en.wikipedia.org/wiki/20_Feet_from_Stardom|||||||||||$1 million||
Helium||https://en.wikipedia.org/wiki/Helium_(film)||Casper Crump|||||||||||
Helium||https://en.wikipedia.org/wiki/Helium_(film)||||Rasmus Heise|||||||||
Helium||https://en.wikipedia.org/wiki/Helium_(film)|||||Lars Wissing||||||||
Helium||https://en.wikipedia.org/wiki/Helium_(film)||||||Magnet Film|||||||
The Lady in Number 6||https://en.wikipedia.org/wiki/The_Lady_in_Number_6||||Kieran Crilly|||||||||
The Lady in Number 6||https://en.wikipedia.org/wiki/The_Lady_in_Number_6|||||Carl Freed||||||||
The Lady in Number 6||https://en.wikipedia.org/wiki/The_Lady_in_Number_6||||||||Luc St. Pierre|||||
The Lady in Number 6||https://en.wikipedia.org/wiki/The_Lady_in_Number_6||||||Netflix|||||||
The Lady in Number 6||https://en.wikipedia.org/wiki/The_Lady_in_Number_6|||||||English||||||
