movie|"""Directed"""|link|"""Screenplay"""|"""Starring"""|"""Produced"""|'Cinematography'|'Edited'|'Distributed'|'Language'|'Music'|'Country'|'Box office'|'Budget'|'Production company'|'Running time'
Belfast||https://en.wikipedia.org/wiki/Belfast_(film)||Caitríona Balfe|||||||||||
Belfast||https://en.wikipedia.org/wiki/Belfast_(film)||Judi Dench|||||||||||
Drive My Car||https://en.wikipedia.org/wiki/Drive_My_Car_(film)||Tōko Miura|||||||||||
Drive My Car||https://en.wikipedia.org/wiki/Drive_My_Car_(film)||Reika Kirishima|||||||||||
West Side Story||https://en.wikipedia.org/wiki/West_Side_Story_(2021_film)|Tony Kushner||||||||||||
No Time to Die||https://en.wikipedia.org/wiki/No_Time_to_Die||Daniel Craig|||||||||||
Dune||https://en.wikipedia.org/wiki/Dune_(2021_film)||Josh Brolin|||||||||||
Dune||https://en.wikipedia.org/wiki/Dune_(2021_film)||Stellan Skarsgård|||||||||||
The Power of the Dog|Jane Campion|https://en.wikipedia.org/wiki/The_Power_of_the_Dog_(film)|||||||||||||
The Eyes of Tammy Faye||https://en.wikipedia.org/wiki/The_Eyes_of_Tammy_Faye_(2021_film)|||Gigi Pritzker||||||||||
The Eyes of Tammy Faye||https://en.wikipedia.org/wiki/The_Eyes_of_Tammy_Faye_(2021_film)||||Mike Gioulakis|||||||||
The Eyes of Tammy Faye||https://en.wikipedia.org/wiki/The_Eyes_of_Tammy_Faye_(2021_film)|||||Mary Jo Markey||||||||
The Queen of Basketball|Ben Proudfoot|https://en.wikipedia.org/wiki/The_Queen_of_Basketball|||||||||||||
CODA||https://en.wikipedia.org/wiki/CODA_(2021_film)|||||||American Sign Language||||||
Summer of Soul||https://en.wikipedia.org/wiki/Summer_of_Soul|||||||English||||||
Summer of Soul||https://en.wikipedia.org/wiki/Summer_of_Soul||||||||||$3.7 million|||
King Richard|Reinaldo Marcus Green|https://en.wikipedia.org/wiki/King_Richard_(film)|||||||||||||
Encanto||https://en.wikipedia.org/wiki/Encanto|Jared Bush||||||||||||
Encanto||https://en.wikipedia.org/wiki/Encanto||Stephanie Beatriz|||||||||||
Belfast||https://en.wikipedia.org/wiki/Belfast_(film)||Jamie Dornan|||||||||||
Belfast||https://en.wikipedia.org/wiki/Belfast_(film)||Ciarán Hinds|||||||||||
Belfast||https://en.wikipedia.org/wiki/Belfast_(film)||Colin Morgan|||||||||||
Drive My Car||https://en.wikipedia.org/wiki/Drive_My_Car_(film)||Park Yu-rim|||||||||||
Drive My Car||https://en.wikipedia.org/wiki/Drive_My_Car_(film)||Jin Dae-yeon|||||||||||
Drive My Car||https://en.wikipedia.org/wiki/Drive_My_Car_(film)||Sonia Yuan|||||||||||
